Country,ACI_Total,GDP_per_capita,Unemployment_total,Literacy_total,WHI,Life_expectancy,Depression_rate,Suicide_rate
Angola,6.94,2524.94,7.42,66.00,3.80,61.00,3.60,6.10
Albania,7.17,5287.66,12.30,98.10,4.59,79.00,4.80,4.30
Argentina,9.65,11795.16,9.22,99.00,6.39,77.00,4.70,8.40
Armenia,5.55,4220.54,18.97,99.80,4.32,75.00,5.00,3.30
Australia,10.51,57180.78,5.30,99.00,7.27,83.00,6.20,12.50
Austria,11.96,51486.58,4.85,98.00,7.14,81.00,6.30,14.60
Burundi,7.19,238.03,1.59,68.40,2.91,62.00,4.20,6.20
Belgium,11.08,47549.21,5.95,99.00,6.93,81.00,6.20,18.30
Benin,2.81,1241.83,1.47,42.40,4.14,62.00,3.90,7.80
Burkina Faso,12.03,804.50,4.69,39.30,4.42,62.00,3.60,7.50
Bulgaria,12.65,9446.70,5.41,98.40,4.93,74.00,7.20,9.70
Bosnia and Herzegovina,7.15,6070.35,18.40,97.00,5.13,78.00,5.10,10.90
Belarus,11.45,6360.06,4.76,99.90,5.23,74.00,7.40,21.20
Belize,6.22,4927.19,6.64,76.90,5.96,75.00,4.40,7.10
Bolivia,4.43,3548.59,3.52,92.50,5.75,72.00,4.40,6.20
Brazil,7.42,9151.38,12.33,93.20,6.42,76.00,5.80,6.90
Bhutan,0.43,3243.48,2.44,66.60,5.08,72.00,4.20,4.60
Botswana,6.59,7503.88,22.07,86.80,3.59,70.00,4.70,16.10
Central African Republic,2.38,475.95,5.61,37.40,3.08,54.00,4.20,12.30
Canada,8.94,46548.64,5.83,99.00,7.33,82.00,4.70,11.80
Switzerland,11.53,86388.40,4.71,99.00,7.49,83.00,5.20,14.50
Chile,9.07,15772.33,7.23,96.40,6.48,80.00,5.00,9.00
China,7.05,9905.34,4.28,99.83,5.25,77.00,4.20,8.10
Cameroon,5.65,1585.24,3.62,77.10,4.98,60.00,3.90,9.00
"Congo, Dem. Rep.",2.00,565.83,4.45,77.00,4.25,61.00,3.80,6.70
Colombia,5.74,6729.58,9.11,95.60,6.26,77.00,4.70,3.90
Costa Rica,4.87,12485.42,9.63,97.90,7.07,80.00,4.70,8.10
Cyprus,10.81,29334.11,10.37,98.70,5.76,81.00,6.10,3.60
Czech Republic,14.45,23419.74,2.24,99.83,6.71,78.00,7.10,12.20
Germany,12.91,47973.61,3.38,99.00,6.97,81.00,6.10,12.30
Denmark,10.26,61591.93,5.13,99.00,7.56,82.00,5.20,10.70
Dominican Republic,6.68,8050.64,5.86,93.80,5.30,74.00,4.70,4.90
Spain,12.72,30364.58,15.25,98.60,6.31,82.00,5.80,7.70
Estonia,9.23,23063.56,5.37,99.90,5.74,78.00,6.00,14.90
Ethiopia,2.36,771.52,2.32,51.80,4.35,67.00,5.00,5.40
Finland,10.78,49988.91,7.36,100.00,7.63,82.00,5.60,15.30
France,12.33,41592.80,9.02,99.00,6.49,82.00,5.60,13.80
Gabon,8.74,7959.01,20.75,84.70,4.76,67.00,4.30,8.40
United Kingdom,11.45,43646.95,4.00,99.00,6.81,81.00,5.60,7.90
Georgia,8.25,4722.04,12.67,99.60,4.34,74.00,5.00,9.20
Ghana,2.75,2260.86,4.28,79.00,4.66,64.00,4.20,6.60
Guinea,1.11,955.11,4.98,39.60,3.96,62.00,3.90,7.00
Greece,10.18,19756.99,19.29,97.94,5.36,81.00,5.90,5.10
Guatemala,2.45,4478.42,2.28,80.80,6.38,75.00,3.70,5.90
Honduras,3.76,2510.32,5.65,88.50,5.50,75.00,4.00,2.10
Croatia,9.23,15227.56,8.43,99.10,5.32,78.00,5.10,16.40
Haiti,2.73,1479.35,13.86,61.70,3.58,64.00,4.30,9.60
Hungary,11.35,16427.37,3.71,99.10,5.25,76.00,6.10,16.60
India,5.54,1998.26,5.33,74.40,4.19,70.00,4.50,12.70
Ireland,12.88,79107.60,5.74,99.00,6.77,82.00,5.80,9.60
Iceland,9.12,74469.80,2.70,99.90,7.50,83.00,5.10,11.90
Israel,4.21,42063.45,4.00,91.75,7.19,83.00,4.60,5.30
Italy,7.84,34622.17,10.61,99.20,6.00,82.00,5.10,6.70
Jamaica,4.22,5359.99,9.10,88.10,5.89,75.00,4.80,2.40
Japan,7.96,39727.12,2.40,99.00,5.92,85.00,4.20,15.30
Kazakhstan,4.76,9812.63,4.85,99.80,5.79,71.00,4.40,17.60
Kenya,2.78,1794.09,4.25,81.50,4.41,67.00,4.40,6.10
Kyrgyz Republic,6.26,1308.14,6.89,99.60,5.13,72.00,4.10,7.40
Cambodia,6.64,1512.13,0.14,80.50,4.43,70.00,3.40,4.90
"Korea, Rep.",9.70,33436.92,3.82,97.90,5.88,83.00,4.10,28.60
Lao PDR,10.72,2569.09,0.83,84.70,4.62,68.00,4.20,5.40
Lebanon,1.71,8003.83,10.80,95.10,5.20,79.00,5.80,2.80
Liberia,6.12,710.27,3.03,48.30,3.50,64.00,3.50,4.50
Sri Lanka,4.10,4059.21,4.32,92.30,4.47,77.00,4.10,14.00
Lesotho,4.59,1192.48,22.81,76.60,3.81,55.00,4.80,72.40
Lithuania,13.22,19186.18,6.15,99.80,5.79,75.00,6.30,26.10
Luxembourg,12.94,117254.74,5.59,100.00,6.91,82.00,5.50,11.30
Latvia,12.77,17865.03,7.41,99.90,5.70,75.00,6.30,20.10
Moldova,11.43,4230.63,4.11,99.40,5.64,72.00,6.40,14.70
Madagascar,1.97,518.40,1.84,76.70,3.77,67.00,4.40,5.50
Mexico,5.00,9686.98,3.28,95.20,6.49,75.00,4.20,5.30
Malta,7.99,31573.12,3.66,94.50,6.63,83.00,5.10,6.10
Myanmar,5.12,1250.17,0.87,89.10,4.31,67.00,3.70,2.90
Montenegro,11.47,8850.38,15.17,98.80,5.35,76.00,5.90,21.00
Mongolia,8.19,4156.85,5.38,99.20,5.13,70.00,4.20,17.90
Mozambique,2.30,503.30,3.46,60.70,4.42,61.00,4.10,13.60
Mauritius,4.35,11208.34,6.43,91.30,5.89,74.00,4.40,9.50
Malawi,3.63,544.59,5.76,62.10,3.59,65.00,4.10,5.40
Namibia,5.43,5588.39,19.88,91.50,4.44,64.00,4.40,9.70
Nigeria,10.84,2027.78,8.46,62.00,4.89,55.00,4.40,3.50
Nicaragua,5.18,2014.58,5.20,82.60,6.14,75.00,4.20,4.40
Netherlands,9.61,53044.53,3.83,100.00,7.44,81.00,4.90,11.80
Norway,7.41,82267.81,3.80,100.00,7.59,83.00,4.70,11.80
Nepal,2.05,1178.53,3.19,67.91,4.88,71.00,3.20,9.00
New Zealand,10.63,43250.44,4.33,99.00,7.32,82.00,5.90,11.00
Panama,7.98,15545.00,3.83,95.70,6.43,79.00,4.40,2.90
Peru,6.38,6958.50,3.49,94.50,5.66,77.00,4.80,2.80
Philippines,6.86,3252.11,2.34,96.30,5.52,71.00,3.30,2.20
Poland,11.71,15468.48,3.85,99.79,6.00,77.00,5.90,11.30
Portugal,12.03,23562.55,6.99,96.10,5.38,81.00,5.90,11.50
Paraguay,7.58,5782.78,6.22,94.50,5.68,74.00,5.20,6.00
Romania,11.74,12398.98,4.19,98.80,5.46,74.00,6.00,9.70
Russian Federation,11.19,11287.36,4.85,99.70,5.21,71.00,6.40,25.10
Rwanda,8.95,783.81,1.11,73.20,3.41,69.00,3.80,5.60
Singapore,2.03,66859.34,3.64,97.50,6.34,84.00,4.60,11.20
Sierra Leone,5.70,533.99,4.66,43.20,4.57,55.00,3.90,6.70
El Salvador,3.89,4052.62,4.01,89.10,6.17,74.00,4.40,6.10
Serbia,8.75,7252.40,12.73,99.50,5.40,74.00,5.00,11.40
Slovak Republic,11.14,19389.98,6.54,99.62,6.00,77.00,5.80,12.10
Slovenia,11.90,26116.86,5.11,99.70,5.95,81.00,5.80,19.80
Sweden,8.93,54589.06,6.36,99.00,7.31,82.00,4.90,14.70
Chad,1.37,726.15,1.13,22.30,4.30,55.00,3.50,6.40
Togo,2.46,901.52,3.73,66.50,4.00,61.00,3.90,8.80
Thailand,8.30,7298.95,0.77,93.80,6.07,77.00,4.40,8.80
Trinidad and Tobago,6.72,17139.19,3.34,98.70,6.19,74.00,5.20,8.70
Tanzania,11.27,1042.84,2.21,77.90,3.30,66.00,5.20,4.30
Uganda,15.09,770.60,1.92,76.50,4.16,64.00,5.50,4.60
Ukraine,8.32,3096.56,8.80,100.00,4.10,71.00,6.70,21.60
Uruguay,6.92,18703.86,8.34,98.80,6.38,78.00,5.00,21.20
United States,9.87,62805.25,3.90,79.00,6.89,77.00,5.90,16.10
Uzbekistan,2.59,1597.07,5.84,100.00,6.10,72.00,4.20,8.00
"Venezuela, RB",4.14,16055.60,5.02,97.10,4.81,72.00,4.20,2.10
Vietnam,8.66,3230.93,1.16,95.80,5.10,75.00,4.00,7.50
South Africa,9.52,7005.10,26.91,95.00,5.88,64.00,4.60,23.50
Zambia,6.54,1516.37,12.01,86.70,4.38,64.00,4.00,7.30
Zimbabwe,4.67,1254.64,4.80,88.70,3.69,62.00,4.00,14.10